date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:36:11	4036/4036	---M--	200	added ('OK')	image/png	etag:%2263e013b-fc4-5c0d93de1d59d%22	https://www.greenheartcbd.io/venture/GBIC%20LOGO.png	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/venture/GBIC%20LOGO.png	(from https://www.greenheartcbd.io/)
04:36:11	171706/171706	---M--	200	added ('OK')	image/jpeg	etag:%2263e0107-29eba-5c0d93de16c24%22	https://www.greenheartcbd.io/assets/images/leftside.jpg	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/images/leftside.jpg	(from https://www.greenheartcbd.io/)
04:36:11	9158/9158	---M--	200	added ('OK')	image/png	etag:%2263e01a1-23c6-5c17d67cb4200%22	https://www.greenheartcbd.io/venture/bscpad.png	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/venture/bscpad.png	(from https://www.greenheartcbd.io/)
04:36:12	5410/5410	---M--	200	added ('OK')	image/png	etag:%2263e0138-1522-5c0d93de1d1b5%22	https://www.greenheartcbd.io/venture/hill-international-logo-vector.png	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/venture/hill-international-logo-vector.png	(from https://www.greenheartcbd.io/)
04:36:12	122181/122181	---M--	200	added ('OK')	image/png	etag:%2263e01b7-1dd45-5c17d0aee1080%22	https://www.greenheartcbd.io/venture/DAG_signature_blue.png	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/venture/DAG_signature_blue.png	(from https://www.greenheartcbd.io/)
04:36:12	37079/37079	---M--	200	added ('OK')	image/png	etag:%2263e0137-90d7-5c0d93de1d1b5%22	https://www.greenheartcbd.io/venture/ZenaDrone%20AI.png	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/venture/ZenaDrone%20AI.png	(from https://www.greenheartcbd.io/)
04:36:13	20335/20335	---M--	200	added ('OK')	image/png	etag:%2263e0135-4f6f-5c0d93de1d1b5%22	https://www.greenheartcbd.io/venture/Epazz%20AI2.png	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/venture/Epazz%20AI2.png	(from https://www.greenheartcbd.io/)
04:36:13	8211/8211	---M--	200	added ('OK')	image/png	etag:%2263e0133-2013-5c0d93de1cdcd%22	https://www.greenheartcbd.io/venture/lumipay_logo_white-01.png	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/venture/lumipay_logo_white-01.png	(from https://www.greenheartcbd.io/)
04:36:13	14284/14284	---M--	200	added ('OK')	image/png	etag:%2263e01b9-37cc-5c19410ef6bc0%22	https://www.greenheartcbd.io/venture/fomo.png	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/venture/fomo.png	(from https://www.greenheartcbd.io/)
04:36:13	34192/34192	---M--	200	added ('OK')	image/jpeg	etag:%2263e018e-8590-5c11eaed61a80%22	https://www.greenheartcbd.io/team/resized/paul.jpg	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/team/resized/paul.jpg	(from https://www.greenheartcbd.io/)
04:36:13	13313/13313	---M--	200	added ('OK')	image/jpeg	etag:%2263e0190-3401-5c11f58e36dc0%22	https://www.greenheartcbd.io/team/resized/shanem.jpg	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/team/resized/shanem.jpg	(from https://www.greenheartcbd.io/)
04:36:14	53889/53889	---M--	200	added ('OK')	image/jpeg	etag:%2263e018f-d281-5c11f3ca2c340%22	https://www.greenheartcbd.io/team/resized/shaneb.jpg	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/team/resized/shaneb.jpg	(from https://www.greenheartcbd.io/)
